Item,Planning_Status,Superseded_By,Function,Candidate_Part_Class_Or_Module,Resolution,Manufacturer,MPN,LCSC,Source_Evidence_Retrieval_Date,Notes
1,SUPERSEDED,docs/component-selection.md C1,Wi-Fi MCU with PCB antenna,ESP32-C3 module with antenna keepout requirement,SELECTED,Espressif Systems,ESP32-C3-WROOM-02-N4,C2934560,2026-09-11,Datasheet v1.7 Table 3-1 verified; Active per catalog attribute (snapshot-backed); antenna keepout mandatory (#5 board rule)
2,SUPERSEDED,docs/component-selection.md C2,3.3 V regulator for module + display,3.3 V LDO 300-500 mA class,SELECTED (thermal-rejected AP2112K SOT-23-5; second source C2-alt),MICRONE (Nanjing Micro One),ME6217C33P5G,C81592,2026-09-11,800 mA / dropout 180 mV max @300 mA / VIN 6.5 V / PD 1 W SOT-89-5; Q3 package deviation documented (SOT-89-5 not SOT-223/SOT-23-5) with datasheet thermal rationale
3,SUPERSEDED,docs/component-selection.md C3,E-ink display panel,2.9 inch e-ink SPI panel no touch,SELECTED (second-source candidates documented),Dalian Good Display,GDEY029T94,not cataloged,2026-09-11,Official DS Rev1.0 2021-03-15; 24-pin map matches frozen interface contract; driver IC NOT SSD1680 per honesty policy; EOL old family avoided
4,SUPERSEDED,docs/component-selection.md C4,E-ink FPC connection,FPC connector matching panel datasheet pitch/count,SELECTED,XUNPU,FPC-05F-24PH20,C2856805,2026-09-11,24P 0.5mm bottom-contact; visual overlay vs panel DS drawing is an OPEN #5 task (M2)
5,SUPERSEDED,docs/component-selection.md C5,Cadence sensing,Reed or Hall-effect proximity sensor with magnet,SELECTED reed (Q2; Hall rejected on standby-current budget),Littelfuse,59170-1-S-00-D,C315909,2026-09-11,Option S 10-15AT activate 6.5 mm avg vs 57045 actuator; zero standby power
6,SUPERSEDED,docs/component-selection.md C11,External sensor connector,2-pin shrouded header or jack with ESD path,SELECTED,(blank in LCSC record; XY series),XY-XH2.54-2PWT,C52190561,2026-09-11,250V 3A rated; shrouded/keyed
7,SUPERSEDED,docs/component-selection.md C9,Sensor-line ESD protection,TVS/ESD diode array suitable for pull-up signal line,SELECTED,UMW,PESD5V0S1BA,C5158048,2026-09-11,IEC 61000-4-2 per catalog + Nexperia family DS (VRWM 5V); UMW-datasheet re-confirm before fab (#9); alt TECH PUBLIC C2827694
8,SUPERSEDED,docs/component-selection.md C7,USB-C power inlet,USB-C receptacle with CC straps for 5 V sink,SELECTED,SHOU HAN,TYPE-C 16PIN 2MD(073),C2765186,2026-09-11,16P mid-mount; 3A/5V; vendor drawing overlay in #3
9,SUPERSEDED,docs/component-selection.md C8,USB data for flashing/diags,USB data coupling + ESD on D+/D-,SELECTED,STMicroelectronics,USBLC6-2SC6,C7519,2026-09-11,ST DocID11265 Rev5 IEC61000-4-2 L4 guaranteed at device level; ST-branded SKU chosen over lookalike SKUs
10,SUPERSEDED,docs/component-selection.md C10,User controls,Tactile push buttons with interrupt-ready GPIO mapping,SELECTED,Shenzhen Kinghelm,KH-6X6X5H-STM,C2837531,2026-09-11,6x6 SMD; 12V/50mA/80k cycles per catalog; DS is Chinese-only 1-pager (gap)
11,PARTIALLY_SUPERSEDED,docs/component-selection.md C13-C19,Bypass/decoupling passives,MLCC kit values + pull-up/pull-down resistors per datasheets,SELECTED per-line (see C13..C19),multiple,see component-selection,see component-selection,2026-09-11,Values per module DS Fig 9-1 + DS rules; 0402 passives; two JLC basic parts dominate (C18/C19)
12,PARTIALLY_SUPERSEDED,docs/component-selection.md C20 + C12,Boot/test programming,Programming + test point set (BOOT GND 3V3 UART and SPI probes),SELECTED as bare-copper TPs; UART 1x4 header TBD,,,TBD,2026-09-11,Test points = zero-BOM copper pads; male 2.54 1x4 header part deliberately not guessed (-> #3/#9)
13,PLANNING_ONLY,,Board,Two-layer PCB with antenna keepout,2-layer fab,FAB QUOTE TBD - no live fab quote retrieved,,TBD,TBD,Choice at #5/#9; keepout as DRC rule
14,PLANNING_ONLY,,Enclosure,3D-printed clip/scale designs (sensor head + main housing),Printed parts,FAB TBD,,TBD,TBD,No metal near antenna; STL maintained in repo
15,TBD,,Crank magnet,Magnet + mounting cradle sized to sensor gap spec,57045-class actuator SOLD SEPARATELY per Littelfuse DS; LCSC search 2026-09-11 found none,TBD,,TBD,TBD,M3 fit test closes gap; do not double-order if switch bundle includes one
16,PLANNING_ONLY,,Assembly hardware,M2 self-tapping screws + fastener assortment,Fasteners,COMMODITY - not sourced this run,,TBD,TBD,Non-schematic item
17,PLANNING_ONLY,,Power cable,USB-C cable (user-supplied; budgeted for convenience),Cable,USER-SUPPLIED - not sourced this run,,TBD,TBD,Non-schematic item; often already owned
